Sample,Choice,Nymphs,Side,Notes
1,Payette,6,L,
2,Burbank,4,L,
3,Payette,7,L,
4,Payette,2,L,Payette was extremly dry
5,Burbank,2,L,Original aphid grew wings
6,Burbank,2,L,Original aphid is on Payette
7,Payette,2,R,Original aphid grew wings
8,Burbank,3,L,
9,Payette,5,L,
11,Burbank,9,R,
12,Burbank,5,R,
13,Payette,4,L,
15,Payette,3,L,
16,Payette,5,R,
17,Payette,3,R,
18,Burbank,0,R,
19,Burbank,0,R,
20,Payette,1,L,
21,Burbank,2,R,
22,Payette,17,L,
23,Burbank,8,R,
24,Payette,5,L,
25,Payette,3,L,
26,Burbank,3,R,
27,Burbank,17,R,
28,Payette,3,L,
29,Burbank,0,L,
30,Burbank,2,L,
31,Payette,1,L,
32,Burbank,1,L,Burbank has thrips
33,Payette,0,L,
